dataset	dist_bin	dist_to_tss	type	direct_rate
K562_DC_TAPseq	[0,5e+04]	23163.07725321889	direct_rate_all	0.07865911828252159
K562_DC_TAPseq	[0,5e+04]	23163.07725321889	direct_rate_negative	0.08189871368008403
K562_DC_TAPseq	[0,5e+04]	23163.07725321889	direct_rate_positive	0
K562_DC_TAPseq	(5e+04,1e+05]	73808.11157024793	direct_rate_all	0.0050592885375494116
K562_DC_TAPseq	(5e+04,1e+05]	73808.11157024793	direct_rate_negative	0.00845849802371542
K562_DC_TAPseq	(5e+04,1e+05]	73808.11157024793	direct_rate_positive	0
K562_DC_TAPseq	(1e+05,1.5e+05]	123511.85555555556	direct_rate_all	0
K562_DC_TAPseq	(1e+05,1.5e+05]	123511.85555555556	direct_rate_negative	0.0071729149199505
K562_DC_TAPseq	(1e+05,1.5e+05]	123511.85555555556	direct_rate_positive	0
K562_DC_TAPseq	(1.5e+05,2e+05]	173549.6923076923	direct_rate_all	0.01417138855874034
K562_DC_TAPseq	(1.5e+05,2e+05]	173549.6923076923	direct_rate_negative	0.0165746243216599
K562_DC_TAPseq	(1.5e+05,2e+05]	173549.6923076923	direct_rate_positive	0
K562_DC_TAPseq	(2e+05,2.5e+05]	226599.43005181348	direct_rate_all	0.0040744043684919
K562_DC_TAPseq	(2e+05,2.5e+05]	226599.43005181348	direct_rate_negative	0.00642449810935752
K562_DC_TAPseq	(2e+05,2.5e+05]	226599.43005181348	direct_rate_positive	0
K562_DC_TAPseq	(2.5e+05,3e+05]	276148.6182795699	direct_rate_all	0
K562_DC_TAPseq	(2.5e+05,3e+05]	276148.6182795699	direct_rate_negative	0
K562_DC_TAPseq	(2.5e+05,3e+05]	276148.6182795699	direct_rate_positive	0
K562_DC_TAPseq	(3e+05,3.5e+05]	323359.6280193237	direct_rate_all	0
K562_DC_TAPseq	(3e+05,3.5e+05]	323359.6280193237	direct_rate_negative	0
K562_DC_TAPseq	(3e+05,3.5e+05]	323359.6280193237	direct_rate_positive	0
K562_DC_TAPseq	(3.5e+05,4e+05]	374955.9881656805	direct_rate_all	0.006281842207655529
K562_DC_TAPseq	(3.5e+05,4e+05]	374955.9881656805	direct_rate_negative	0.00197896357215299
K562_DC_TAPseq	(3.5e+05,4e+05]	374955.9881656805	direct_rate_positive	0.00430287863550253
K562_DC_TAPseq	(4e+05,4.5e+05]	423014.52413793106	direct_rate_all	0.0023234663659905605
K562_DC_TAPseq	(4e+05,4.5e+05]	423014.52413793106	direct_rate_negative	0
K562_DC_TAPseq	(4e+05,4.5e+05]	423014.52413793106	direct_rate_positive	0.0062616625571511805
K562_DC_TAPseq	(4.5e+05,5e+05]	476508.7741935483	direct_rate_all	0.0014335887241663098
K562_DC_TAPseq	(4.5e+05,5e+05]	476508.7741935483	direct_rate_negative	0.0025134167120651908
K562_DC_TAPseq	(4.5e+05,5e+05]	476508.7741935483	direct_rate_positive	0
K562_DC_TAPseq	(5e+05,5.5e+05]	524474.6300578035	direct_rate_all	0.01165175020095169
K562_DC_TAPseq	(5e+05,5.5e+05]	524474.6300578035	direct_rate_negative	0.00762249745045788
K562_DC_TAPseq	(5e+05,5.5e+05]	524474.6300578035	direct_rate_positive	0.00402925275049381
K562_DC_TAPseq	(5.5e+05,6e+05]	575469.1266666667	direct_rate_all	0
K562_DC_TAPseq	(5.5e+05,6e+05]	575469.1266666667	direct_rate_negative	0
K562_DC_TAPseq	(5.5e+05,6e+05]	575469.1266666667	direct_rate_positive	0
K562_DC_TAPseq	(6e+05,6.5e+05]	624551.9366197183	direct_rate_all	0
K562_DC_TAPseq	(6e+05,6.5e+05]	624551.9366197183	direct_rate_negative	0
K562_DC_TAPseq	(6e+05,6.5e+05]	624551.9366197183	direct_rate_positive	0
K562_DC_TAPseq	(6.5e+05,7e+05]	675305.1754385965	direct_rate_all	0
K562_DC_TAPseq	(6.5e+05,7e+05]	675305.1754385965	direct_rate_negative	0
K562_DC_TAPseq	(6.5e+05,7e+05]	675305.1754385965	direct_rate_positive	0.00124048893343672
K562_DC_TAPseq	(7e+05,7.5e+05]	725500.1369863014	direct_rate_all	0.0159276231916873
K562_DC_TAPseq	(7e+05,7.5e+05]	725500.1369863014	direct_rate_negative	0.0029111188773325407
K562_DC_TAPseq	(7e+05,7.5e+05]	725500.1369863014	direct_rate_positive	0.013016504314354771
K562_DC_TAPseq	(7.5e+05,8e+05]	775347.8194444445	direct_rate_all	0
K562_DC_TAPseq	(7.5e+05,8e+05]	775347.8194444445	direct_rate_negative	0
K562_DC_TAPseq	(7.5e+05,8e+05]	775347.8194444445	direct_rate_positive	0
K562_DC_TAPseq	(8e+05,8.5e+05]	825391.5736434108	direct_rate_all	0.0040342388867069395
K562_DC_TAPseq	(8e+05,8.5e+05]	825391.5736434108	direct_rate_negative	0
K562_DC_TAPseq	(8e+05,8.5e+05]	825391.5736434108	direct_rate_positive	0.00797243507786756
K562_DC_TAPseq	(8.5e+05,9e+05]	875149.1694915254	direct_rate_all	0
K562_DC_TAPseq	(8.5e+05,9e+05]	875149.1694915254	direct_rate_negative	0
K562_DC_TAPseq	(8.5e+05,9e+05]	875149.1694915254	direct_rate_positive	9.43135380061761e-4
K562_DC_TAPseq	(9e+05,9.5e+05]	924698.0476190476	direct_rate_all	0
K562_DC_TAPseq	(9e+05,9.5e+05]	924698.0476190476	direct_rate_negative	0
K562_DC_TAPseq	(9e+05,9.5e+05]	924698.0476190476	direct_rate_positive	0
K562_DC_TAPseq	(9.5e+05,1e+06]	976902.125	direct_rate_all	0
K562_DC_TAPseq	(9.5e+05,1e+06]	976902.125	direct_rate_negative	0.0038743038088393904
K562_DC_TAPseq	(9.5e+05,1e+06]	976902.125	direct_rate_positive	0
WTC11_DC_TAPseq	[0,5e+04]	27519.3661971831	direct_rate_all	0.11670326482676965
WTC11_DC_TAPseq	[0,5e+04]	27519.3661971831	direct_rate_negative	0.10802806178740108
WTC11_DC_TAPseq	[0,5e+04]	27519.3661971831	direct_rate_positive	0.00867520303936856
WTC11_DC_TAPseq	(5e+04,1e+05]	73866.2	direct_rate_all	0.023904965597431348
WTC11_DC_TAPseq	(5e+04,1e+05]	73866.2	direct_rate_negative	0.014219929977674808
WTC11_DC_TAPseq	(5e+04,1e+05]	73866.2	direct_rate_positive	0.00968503561975655
WTC11_DC_TAPseq	(1e+05,1.5e+05]	126562.09633027524	direct_rate_all	0
WTC11_DC_TAPseq	(1e+05,1.5e+05]	126562.09633027524	direct_rate_negative	0
WTC11_DC_TAPseq	(1e+05,1.5e+05]	126562.09633027524	direct_rate_positive	0.00376500792372054
WTC11_DC_TAPseq	(1.5e+05,2e+05]	173814.0170940171	direct_rate_all	0.002763214267000781
WTC11_DC_TAPseq	(1.5e+05,2e+05]	173814.0170940171	direct_rate_negative	0
WTC11_DC_TAPseq	(1.5e+05,2e+05]	173814.0170940171	direct_rate_positive	0.0031377045441235794
WTC11_DC_TAPseq	(2e+05,2.5e+05]	224221.88659793817	direct_rate_all	2.51979797003421e-4
WTC11_DC_TAPseq	(2e+05,2.5e+05]	224221.88659793817	direct_rate_negative	0.00566128379988839
WTC11_DC_TAPseq	(2e+05,2.5e+05]	224221.88659793817	direct_rate_positive	0
WTC11_DC_TAPseq	(2.5e+05,3e+05]	274533.1308411215	direct_rate_all	0.008634290231534681
WTC11_DC_TAPseq	(2.5e+05,3e+05]	274533.1308411215	direct_rate_negative	0.00469779984189629
WTC11_DC_TAPseq	(2.5e+05,3e+05]	274533.1308411215	direct_rate_positive	0.0039364903896384005
WTC11_DC_TAPseq	(3e+05,3.5e+05]	324411.9679144385	direct_rate_all	0.0059854821951510605
WTC11_DC_TAPseq	(3e+05,3.5e+05]	324411.9679144385	direct_rate_negative	0.011394786198036029
WTC11_DC_TAPseq	(3e+05,3.5e+05]	324411.9679144385	direct_rate_positive	0
WTC11_DC_TAPseq	(3.5e+05,4e+05]	374893.20408163266	direct_rate_all	0
WTC11_DC_TAPseq	(3.5e+05,4e+05]	374893.20408163266	direct_rate_negative	0
WTC11_DC_TAPseq	(3.5e+05,4e+05]	374893.20408163266	direct_rate_positive	0
WTC11_DC_TAPseq	(4e+05,4.5e+05]	424878.78571428574	direct_rate_all	0
WTC11_DC_TAPseq	(4e+05,4.5e+05]	424878.78571428574	direct_rate_negative	0
WTC11_DC_TAPseq	(4e+05,4.5e+05]	424878.78571428574	direct_rate_positive	0
WTC11_DC_TAPseq	(4.5e+05,5e+05]	474540.4647887324	direct_rate_all	0.0040272084887414804
WTC11_DC_TAPseq	(4.5e+05,5e+05]	474540.4647887324	direct_rate_negative	0.00239425897049969
WTC11_DC_TAPseq	(4.5e+05,5e+05]	474540.4647887324	direct_rate_positive	0.0016329495182418
WTC11_DC_TAPseq	(5e+05,5.5e+05]	524592.7741935484	direct_rate_all	0.009297540156165381
WTC11_DC_TAPseq	(5e+05,5.5e+05]	524592.7741935484	direct_rate_negative	0.00825523125582454
WTC11_DC_TAPseq	(5e+05,5.5e+05]	524592.7741935484	direct_rate_positive	0.0010423089003408405
WTC11_DC_TAPseq	(5.5e+05,6e+05]	576973.9621212122	direct_rate_all	0
WTC11_DC_TAPseq	(5.5e+05,6e+05]	576973.9621212122	direct_rate_negative	0
WTC11_DC_TAPseq	(5.5e+05,6e+05]	576973.9621212122	direct_rate_positive	0.00216645357287261
WTC11_DC_TAPseq	(6e+05,6.5e+05]	623578.3376623377	direct_rate_all	0.00942322092700744
WTC11_DC_TAPseq	(6e+05,6.5e+05]	623578.3376623377	direct_rate_negative	0.0018455119428794197
WTC11_DC_TAPseq	(6e+05,6.5e+05]	623578.3376623377	direct_rate_positive	0.007577708984128019
WTC11_DC_TAPseq	(6.5e+05,7e+05]	676157.8251748251	direct_rate_all	0
WTC11_DC_TAPseq	(6.5e+05,7e+05]	676157.8251748251	direct_rate_negative	0
WTC11_DC_TAPseq	(6.5e+05,7e+05]	676157.8251748251	direct_rate_positive	0.0015837029901220306
WTC11_DC_TAPseq	(7e+05,7.5e+05]	726412.969924812	direct_rate_all	0
WTC11_DC_TAPseq	(7e+05,7.5e+05]	726412.969924812	direct_rate_negative	0
WTC11_DC_TAPseq	(7e+05,7.5e+05]	726412.969924812	direct_rate_positive	0
WTC11_DC_TAPseq	(7.5e+05,8e+05]	776240.8554216868	direct_rate_all	0.00199089421757229
WTC11_DC_TAPseq	(7.5e+05,8e+05]	776240.8554216868	direct_rate_negative	0.007400198220457259
WTC11_DC_TAPseq	(7.5e+05,8e+05]	776240.8554216868	direct_rate_positive	0
WTC11_DC_TAPseq	(8e+05,8.5e+05]	822693.0964912281	direct_rate_all	0
WTC11_DC_TAPseq	(8e+05,8.5e+05]	822693.0964912281	direct_rate_negative	0
WTC11_DC_TAPseq	(8e+05,8.5e+05]	822693.0964912281	direct_rate_positive	0
WTC11_DC_TAPseq	(8.5e+05,9e+05]	874191.2743362832	direct_rate_all	0
WTC11_DC_TAPseq	(8.5e+05,9e+05]	874191.2743362832	direct_rate_negative	0
WTC11_DC_TAPseq	(8.5e+05,9e+05]	874191.2743362832	direct_rate_positive	0
WTC11_DC_TAPseq	(9e+05,9.5e+05]	926726.7310924368	direct_rate_all	0
WTC11_DC_TAPseq	(9e+05,9.5e+05]	926726.7310924368	direct_rate_negative	0
WTC11_DC_TAPseq	(9e+05,9.5e+05]	926726.7310924368	direct_rate_positive	0.0029940573416528497
WTC11_DC_TAPseq	(9.5e+05,1e+06]	976704.99	direct_rate_all	0
WTC11_DC_TAPseq	(9.5e+05,1e+06]	976704.99	direct_rate_negative	0
WTC11_DC_TAPseq	(9.5e+05,1e+06]	976704.99	direct_rate_positive	0
Klann2021	[0,5e+04]	27732.81712962963	direct_rate_all	0.01623544594533134
Klann2021	[0,5e+04]	27732.81712962963	direct_rate_negative	0.015487371325480203
Klann2021	[0,5e+04]	27732.81712962963	direct_rate_positive	7.480746198511167e-4
Klann2021	(5e+04,1e+05]	74980.28693181818	direct_rate_all	0.0064500924099778
Klann2021	(5e+04,1e+05]	74980.28693181818	direct_rate_negative	0.006859425197534074
Klann2021	(5e+04,1e+05]	74980.28693181818	direct_rate_positive	0
Klann2021	(1e+05,1.5e+05]	124255.34656084656	direct_rate_all	0.00416534012522552
Klann2021	(1e+05,1.5e+05]	124255.34656084656	direct_rate_negative	0.004574672912781794
Klann2021	(1e+05,1.5e+05]	124255.34656084656	direct_rate_positive	0
Klann2021	(1.5e+05,2e+05]	174321.3765323993	direct_rate_all	0.00325261854700481
Klann2021	(1.5e+05,2e+05]	174321.3765323993	direct_rate_negative	0.0010349811068903342
Klann2021	(1.5e+05,2e+05]	174321.3765323993	direct_rate_positive	0.0022176374401144667
Klann2021	(2e+05,2.5e+05]	224765.6031096563	direct_rate_all	0.00132932665091417
Klann2021	(2e+05,2.5e+05]	224765.6031096563	direct_rate_negative	0.0017386594384704445
Klann2021	(2e+05,2.5e+05]	224765.6031096563	direct_rate_positive	0
Klann2021	(2.5e+05,3e+05]	275121.96914700547	direct_rate_all	6.892168668881e-4
Klann2021	(2.5e+05,3e+05]	275121.96914700547	direct_rate_negative	1.911086381104427e-4
Klann2021	(2.5e+05,3e+05]	275121.96914700547	direct_rate_positive	4.981082287776552e-4
Klann2021	(3e+05,3.5e+05]	326005.87115956395	direct_rate_all	0
Klann2021	(3e+05,3.5e+05]	326005.87115956395	direct_rate_negative	0
Klann2021	(3e+05,3.5e+05]	326005.87115956395	direct_rate_positive	5.817474899461944e-4
Klann2021	(3.5e+05,4e+05]	374676.84266409266	direct_rate_all	0
Klann2021	(3.5e+05,4e+05]	374676.84266409266	direct_rate_negative	0
Klann2021	(3.5e+05,4e+05]	374676.84266409266	direct_rate_positive	0
Klann2021	(4e+05,4.5e+05]	425244.9885167464	direct_rate_all	7.882104323063499e-4
Klann2021	(4e+05,4.5e+05]	425244.9885167464	direct_rate_negative	2.4060542081956655e-4
Klann2021	(4e+05,4.5e+05]	425244.9885167464	direct_rate_positive	5.47605011486779e-4
Klann2021	(4.5e+05,5e+05]	475506.0565445026	direct_rate_all	9.685756719165601e-4
Klann2021	(4.5e+05,5e+05]	475506.0565445026	direct_rate_negative	3.307880406246644e-4
Klann2021	(4.5e+05,5e+05]	475506.0565445026	direct_rate_positive	6.377876312918767e-4
Klann2021	(5e+05,5.5e+05]	525202.0200200201	direct_rate_all	0
Klann2021	(5e+05,5.5e+05]	525202.0200200201	direct_rate_negative	0
Klann2021	(5e+05,5.5e+05]	525202.0200200201	direct_rate_positive	5.916682134447166e-4
Klann2021	(5.5e+05,6e+05]	575251.1324921135	direct_rate_all	0
Klann2021	(5.5e+05,6e+05]	575251.1324921135	direct_rate_negative	0
Klann2021	(5.5e+05,6e+05]	575251.1324921135	direct_rate_positive	6.421919232744166e-4
Klann2021	(6e+05,6.5e+05]	624877.1801980198	direct_rate_all	0
Klann2021	(6e+05,6.5e+05]	624877.1801980198	direct_rate_negative	2.737666316774942e-4
Klann2021	(6e+05,6.5e+05]	624877.1801980198	direct_rate_positive	0
Klann2021	(6.5e+05,7e+05]	673953.2145748988	direct_rate_all	0.0019107720811837902
Klann2021	(6.5e+05,7e+05]	673953.2145748988	direct_rate_negative	0.0013079591197522043
Klann2021	(6.5e+05,7e+05]	673953.2145748988	direct_rate_positive	6.028129614315666e-4
Klann2021	(7e+05,7.5e+05]	724247.937694704	direct_rate_all	0
Klann2021	(7e+05,7.5e+05]	724247.937694704	direct_rate_negative	0
Klann2021	(7e+05,7.5e+05]	724247.937694704	direct_rate_positive	0
Klann2021	(7.5e+05,8e+05]	775700.1019313305	direct_rate_all	0
Klann2021	(7.5e+05,8e+05]	775700.1019313305	direct_rate_negative	0
Klann2021	(7.5e+05,8e+05]	775700.1019313305	direct_rate_positive	0
Klann2021	(8e+05,8.5e+05]	825331.8232104122	direct_rate_all	0
Klann2021	(8e+05,8.5e+05]	825331.8232104122	direct_rate_negative	0
Klann2021	(8e+05,8.5e+05]	825331.8232104122	direct_rate_positive	0
Klann2021	(8.5e+05,9e+05]	874095.2015167931	direct_rate_all	0
Klann2021	(8.5e+05,9e+05]	874095.2015167931	direct_rate_negative	0
Klann2021	(8.5e+05,9e+05]	874095.2015167931	direct_rate_positive	6.740908310785966e-4
Klann2021	(9e+05,9.5e+05]	924756.9727074236	direct_rate_all	0
Klann2021	(9e+05,9.5e+05]	924756.9727074236	direct_rate_negative	3.753706785450543e-4
Klann2021	(9e+05,9.5e+05]	924756.9727074236	direct_rate_positive	0
Klann2021	(9.5e+05,1e+06]	975545.849484536	direct_rate_all	0
Klann2021	(9.5e+05,1e+06]	975545.849484536	direct_rate_negative	3.1459545682804423e-4
Klann2021	(9.5e+05,1e+06]	975545.849484536	direct_rate_positive	0
Xie2019	[0,5e+04]	26904.736434108527	direct_rate_all	0.16123063527192252
Xie2019	[0,5e+04]	26904.736434108527	direct_rate_negative	0.16201066647317056
Xie2019	[0,5e+04]	26904.736434108527	direct_rate_positive	0
Xie2019	(5e+04,1e+05]	74760.17054263566	direct_rate_all	0.02944768953548839
Xie2019	(5e+04,1e+05]	74760.17054263566	direct_rate_negative	0.03022772073673644
Xie2019	(5e+04,1e+05]	74760.17054263566	direct_rate_positive	0
Xie2019	(1e+05,1.5e+05]	123811.04743083005	direct_rate_all	0.030060490957187692
Xie2019	(1e+05,1.5e+05]	123811.04743083005	direct_rate_negative	0.030840522158435742
Xie2019	(1e+05,1.5e+05]	123811.04743083005	direct_rate_positive	0
Xie2019	(1.5e+05,2e+05]	177090.61764705885	direct_rate_all	0.02785170230338625
Xie2019	(1.5e+05,2e+05]	177090.61764705885	direct_rate_negative	0.02022837216009649
Xie2019	(1.5e+05,2e+05]	177090.61764705885	direct_rate_positive	0.00762333014328976
Xie2019	(2e+05,2.5e+05]	225108.62916666668	direct_rate_all	0
Xie2019	(2e+05,2.5e+05]	225108.62916666668	direct_rate_negative	0
Xie2019	(2e+05,2.5e+05]	225108.62916666668	direct_rate_positive	0
Xie2019	(2.5e+05,3e+05]	275365.33766233764	direct_rate_all	0
Xie2019	(2.5e+05,3e+05]	275365.33766233764	direct_rate_negative	0
Xie2019	(2.5e+05,3e+05]	275365.33766233764	direct_rate_positive	0
Xie2019	(3e+05,3.5e+05]	324600.8793103448	direct_rate_all	0.00706062725267631
Xie2019	(3e+05,3.5e+05]	324600.8793103448	direct_rate_negative	0.00784065845392436
Xie2019	(3e+05,3.5e+05]	324600.8793103448	direct_rate_positive	0
Xie2019	(3.5e+05,4e+05]	375713.7663551402	direct_rate_all	0.0031128347937655803
Xie2019	(3.5e+05,4e+05]	375713.7663551402	direct_rate_negative	0
Xie2019	(3.5e+05,4e+05]	375713.7663551402	direct_rate_positive	0.00389286599501363
Xie2019	(4e+05,4.5e+05]	423678.3697916667	direct_rate_all	0.00885660426417056
Xie2019	(4e+05,4.5e+05]	423678.3697916667	direct_rate_negative	0.00963663546541861
